cfg, VBP ADVP VP, VB SBAR, VB NP SBAR," VB SBAR , CC SBAR", VB NP NP, VB NP, VBP VP, VBN," VP , SQ", VB NP PP, TO VP, VB ADJP, VBZ VP, VBZ NP, VBN PRT NP ADVP, VBD NP, VBN VP, VBD ADVP, VBD S, VB S, VB PP, MD VP, VB PRT ADVP, VBP S, VBD VP, VBD, VBP NP, VBZ RB VP, VB VP, VBD NP NP, VBP RB VP,, VB ADVP PP, NN, VBD NP ADVP, VBZ NP NP, VB NP CC IN NP PP, VBZ ADVP, VBD NP PP VP, VBZ VP CC S, VBN NP, VBD ADVP VP, VBG S, VBZ S, VB PP PP, VP CC VP, VBG NP, VB NP VP, VB NP S," VP , SBARQ", VBP ADJP, NN NP, TO NP VP, MD RB VP, VB, VBP JJ S, MD ADVP VP, VBN SBAR, VBG PRT CC VB PP, VB ADJP S, VBP NP PP, VBN S, VB PRT NP, VBD SBAR, VBN NP SBAR, VBD NP SBAR, VBG NP NP PP, VBD PRT PP, VBG PP, VBG VP, VBD PP, VBN PP, VBN NP PP, VBD NP S, VBN ADVP SBAR, VBN ADVP PP, VBN ADVP S, VBG PRT PP PP, VB NP ADVP SBAR, VB SBAR S, VBD RB VP, VBD NP PP PP," VBP NP PP , WHADVP", VBP NP . WHADVP SQ, VBN PRT PP
 TO VP,0.4444444444444444,0.2857142857142857,0.35294117647058826,0.16666666666666666,0.4,0.5,0.6153846153846154,0.4,0.42857142857142855,0.4,1.0,0.42857142857142855,0.6153846153846154,0.46153846153846156,0.2727272727272727,0.46153846153846156,0.6153846153846154,0.4,0.3333333333333333,0.36363636363636365,0.5,0.6666666666666666,0.3333333333333333,0.5,0.6153846153846154,0.4,0.46153846153846156,0.5,0.6666666666666666,0.375,0.5,0.0,0.35294117647058826,0.2222222222222222,0.3333333333333333,0.375,0.25,0.4,0.42105263157894735,0.4444444444444444,0.46153846153846156,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.4,0.4,0.46153846153846156,0.5333333333333333,0.42857142857142855,0.35294117647058826,0.4,0.5,0.8,0.5333333333333333,0.4444444444444444,0.4,0.47058823529411764,0.26666666666666666,0.2608695652173913,0.375,0.375,0.3333333333333333,0.375,0.26666666666666666,0.3333333333333333,0.3333333333333333,0.3157894736842105,0.35294117647058826,0.46153846153846156,0.6153846153846154,0.46153846153846156,0.46153846153846156,0.375,0.4,0.3,0.3333333333333333,0.35294117647058826,0.3,0.2727272727272727,0.25,0.5,0.3157894736842105,0.24,0.24,0.35294117647058826
 VB ADJP,0.7,0.625,0.5263157894736842,0.38461538461538464,0.5882352941176471,0.7142857142857143,0.6666666666666666,0.5,0.375,0.5882352941176471,0.42857142857142855,1.0,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.8235294117647058,0.5714285714285714,0.6153846153846154,0.7142857142857143,0.42857142857142855,0.7,0.5714285714285714,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5555555555555556,0.7142857142857143,0.5555555555555556,0.5555555555555556,0.0,0.7368421052631579,0.18181818181818182,0.7,0.5555555555555556,0.38461538461538464,0.8235294117647058,0.47619047619047616,0.5,0.6666666666666666,0.7,0.5714285714285714,0.5714285714285714,0.5882352941176471,0.47058823529411764,0.6666666666666666,0.5882352941176471,0.625,0.42105263157894735,0.9411764705882353,0.42857142857142855,0.35294117647058826,0.35294117647058826,0.5454545454545454,0.5882352941176471,0.5263157894736842,0.5882352941176471,0.4,0.8888888888888888,0.5555555555555556,0.5714285714285714,0.5555555555555556,0.5882352941176471,0.5,0.5,0.47619047619047616,0.5263157894736842,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5555555555555556,0.5882352941176471,0.6363636363636364,0.7,0.7368421052631579,0.45454545454545453,0.5833333333333334,0.5555555555555556,0.5555555555555556,0.47619047619047616,0.5185185185185185,0.5185185185185185,0.5263157894736842
 VBZ VP,0.631578947368421,0.5333333333333333,0.5555555555555556,0.32,0.625,0.7692307692307693,0.8571428571428571,0.5454545454545454,0.4,0.625,0.6153846153846154,0.6666666666666666,1.0,0.8571428571428571,0.5217391304347826,0.7142857142857143,0.8571428571428571,0.75,0.6153846153846154,0.6666666666666666,0.7692307692307693,0.6153846153846154,0.631578947368421,0.6153846153846154,0.8571428571428571,0.5454545454545454,0.7142857142857143,0.8235294117647058,0.9230769230769231,0.5882352941176471,0.7058823529411765,0.0,0.6666666666666666,0.2,0.631578947368421,0.7058823529411765,0.4,0.875,0.6,0.7368421052631579,0.7142857142857143,0.631578947368421,0.6153846153846154,0.7692307692307693,0.625,0.375,0.7142857142857143,0.75,0.6666666666666666,0.3333333333333333,0.625,0.46153846153846156,0.5,0.625,0.6,0.5,0.5555555555555556,0.5,0.5,0.5882352941176471,0.5882352941176471,0.6153846153846154,0.5882352941176471,0.5,0.5263157894736842,0.5263157894736842,0.5,0.5555555555555556,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.5882352941176471,0.625,0.5714285714285714,0.631578947368421,0.6666666666666666,0.47619047619047616,0.5217391304347826,0.47058823529411764,0.7058823529411765,0.5,0.46153846153846156,0.46153846153846156,0.5555555555555556
 VBZ NP,0.5263157894736842,0.5333333333333333,0.6666666666666666,0.32,0.75,0.9230769230769231,0.7142857142857143,0.7272727272727273,0.4,0.75,0.46153846153846156,0.6666666666666666,0.8571428571428571,1.0,0.5217391304347826,0.8571428571428571,0.7142857142857143,0.625,0.6153846153846154,0.6666666666666666,0.7692307692307693,0.46153846153846156,0.5263157894736842,0.6153846153846154,0.7142857142857143,0.5454545454545454,0.8571428571428571,0.7058823529411765,0.7692307692307693,0.7058823529411765,0.5882352941176471,0.0,0.5555555555555556,0.4,0.631578947368421,0.8235294117647058,0.48,0.75,0.6,0.631578947368421,0.8571428571428571,0.5263157894736842,0.6153846153846154,0.7692307692307693,0.625,0.5,0.8571428571428571,0.75,0.8,0.3333333333333333,0.625,0.6153846153846154,0.5,0.375,0.6,0.5,0.3333333333333333,0.5,0.4166666666666667,0.5882352941176471,0.7058823529411765,0.6153846153846154,0.7058823529411765,0.5,0.631578947368421,0.631578947368421,0.6,0.5555555555555556,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7058823529411765,0.75,0.47619047619047616,0.5263157894736842,0.5555555555555556,0.47619047619047616,0.5217391304347826,0.47058823529411764,0.5882352941176471,0.6,0.46153846153846156,0.46153846153846156,0.5555555555555556
 VBN PRT NP ADVP,0.6428571428571429,0.4166666666666667,0.5925925925925926,0.47058823529411764,0.64,0.5454545454545454,0.6086956521739131,0.4,0.3333333333333333,0.64,0.2727272727272727,0.5833333333333334,0.5217391304347826,0.5217391304347826,1.0,0.5217391304347826,0.6086956521739131,0.64,0.36363636363636365,0.38095238095238093,0.5454545454545454,0.2727272727272727,0.8571428571428571,0.45454545454545453,0.5217391304347826,0.4,0.6086956521739131,0.6153846153846154,0.5454545454545454,0.6153846153846154,0.5384615384615384,0.0,0.5925925925925926,0.21052631578947367,0.7857142857142857,0.6153846153846154,0.47058823529411764,0.64,0.6206896551724138,0.42857142857142855,0.6086956521739131,0.5714285714285714,0.36363636363636365,0.36363636363636365,0.64,0.48,0.5217391304347826,0.72,0.5833333333333334,0.37037037037037035,0.64,0.45454545454545453,0.64,0.24,0.3157894736842105,0.4,0.4444444444444444,0.48,0.6060606060606061,0.5384615384615384,0.6923076923076923,0.45454545454545453,0.7692307692307693,0.4,0.6428571428571429,0.5714285714285714,0.5517241379310345,0.7407407407407407,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.6086956521739131,0.6923076923076923,0.56,0.6,0.6428571428571429,0.6666666666666666,0.7333333333333333,0.6875,0.46153846153846156,0.6153846153846154,0.5517241379310345,0.6857142857142857,0.6857142857142857,0.8148148148148148
 VBD NP,0.631578947368421,0.5333333333333333,0.6666666666666666,0.32,0.75,0.9230769230769231,0.7142857142857143,0.7272727272727273,0.4,0.75,0.46153846153846156,0.6666666666666666,0.7142857142857143,0.8571428571428571,0.5217391304347826,1.0,0.7142857142857143,0.75,0.7692307692307693,0.6666666666666666,0.7692307692307693,0.46153846153846156,0.5263157894736842,0.6153846153846154,0.8571428571428571,0.7272727272727273,0.8571428571428571,0.5882352941176471,0.7692307692307693,0.8235294117647058,0.5882352941176471,0.0,0.6666666666666666,0.4,0.7368421052631579,0.7058823529411765,0.48,0.625,0.7,0.5263157894736842,0.8571428571428571,0.631578947368421,0.6153846153846154,0.6153846153846154,0.625,0.5,0.8571428571428571,0.75,0.8,0.3333333333333333,0.625,0.6153846153846154,0.5,0.375,0.6,0.5,0.3333333333333333,0.5,0.4166666666666667,0.5882352941176471,0.7058823529411765,0.6153846153846154,0.7058823529411765,0.625,0.631578947368421,0.7368421052631579,0.6,0.6666666666666666,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.7058823529411765,0.875,0.47619047619047616,0.631578947368421,0.5555555555555556,0.47619047619047616,0.5217391304347826,0.47058823529411764,0.7058823529411765,0.7,0.46153846153846156,0.46153846153846156,0.5555555555555556
 VBN VP,0.631578947368421,0.5333333333333333,0.5555555555555556,0.32,0.75,0.7692307692307693,0.8571428571428571,0.7272727272727273,0.4,0.75,0.6153846153846154,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.6086956521739131,0.7142857142857143,1.0,0.75,0.6153846153846154,0.6666666666666666,0.7692307692307693,0.6153846153846154,0.631578947368421,0.6153846153846154,0.8571428571428571,0.5454545454545454,0.7142857142857143,0.7058823529411765,0.9230769230769231,0.7058823529411765,0.7058823529411765,0.0,0.6666666666666666,0.4,0.7368421052631579,0.7058823529411765,0.48,0.75,0.7,0.631578947368421,0.8571428571428571,0.631578947368421,0.6153846153846154,0.6153846153846154,0.625,0.375,0.7142857142857143,0.875,0.6666666666666666,0.3333333333333333,0.625,0.6153846153846154,0.625,0.625,0.6,0.5,0.5555555555555556,0.625,0.5,0.5882352941176471,0.7058823529411765,0.7692307692307693,0.5882352941176471,0.5,0.631578947368421,0.5263157894736842,0.6,0.5555555555555556,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.7058823529411765,0.625,0.6666666666666666,0.7368421052631579,0.7777777777777778,0.47619047619047616,0.6086956521739131,0.47058823529411764,0.7058823529411765,0.6,0.5384615384615384,0.5384615384615384,0.6666666666666666
 VBD ADVP,0.7619047619047619,0.5882352941176471,0.5,0.37037037037037035,0.5555555555555556,0.6666666666666666,0.75,0.46153846153846156,0.35294117647058826,0.5555555555555556,0.4,0.8235294117647058,0.75,0.625,0.64,0.75,0.75,1.0,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.4,0.7619047619047619,0.5333333333333333,0.875,0.6153846153846154,0.625,0.631578947368421,0.8,0.631578947368421,0.631578947368421,0.0,0.8,0.16666666666666666,0.8571428571428571,0.5263157894736842,0.37037037037037035,0.8888888888888888,0.6363636363636364,0.5714285714285714,0.625,0.8571428571428571,0.5333333333333333,0.5333333333333333,0.5555555555555556,0.5555555555555556,0.625,0.6666666666666666,0.5882352941176471,0.4,0.7777777777777778,0.4,0.3333333333333333,0.3333333333333333,0.5,0.4444444444444444,0.7,0.5555555555555556,0.46153846153846156,0.7368421052631579,0.5263157894736842,0.5333333333333333,0.5263157894736842,0.6666666666666666,0.47619047619047616,0.5714285714285714,0.45454545454545453,0.6,0.625,0.75,0.75,0.625,0.5263157894736842,0.6666666666666666,0.6956521739130435,0.7619047619047619,0.8,0.43478260869565216,0.64,0.5263157894736842,0.7368421052631579,0.5454545454545454,0.5714285714285714,0.5714285714285714,0.5
 VBD S,0.5555555555555556,0.7142857142857143,0.5882352941176471,0.4166666666666667,0.5333333333333333,0.6666666666666666,0.6153846153846154,0.6,0.5714285714285714,0.5333333333333333,0.3333333333333333,0.5714285714285714,0.6153846153846154,0.6153846153846154,0.36363636363636365,0.7692307692307693,0.6153846153846154,0.6666666666666666,1.0,0.9090909090909091,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.8333333333333334,0.7692307692307693,0.8,0.6153846153846154,0.5,0.6666666666666666,0.625,0.5,0.0,0.5882352941176471,0.2222222222222222,0.5555555555555556,0.5,0.3333333333333333,0.5333333333333333,0.5263157894736842,0.5555555555555556,0.6153846153846154,0.5555555555555556,0.8333333333333334,0.8333333333333334,0.5333333333333333,0.4,0.6153846153846154,0.5333333333333333,0.7142857142857143,0.47058823529411764,0.5333333333333333,0.3333333333333333,0.26666666666666666,0.26666666666666666,0.6666666666666666,0.6666666666666666,0.23529411764705882,0.6666666666666666,0.34782608695652173,0.75,0.5,0.8333333333333334,0.5,0.8,0.5555555555555556,0.6666666666666666,0.42105263157894735,0.5882352941176471,0.6153846153846154,0.6153846153846154,0.7692307692307693,0.6153846153846154,0.5,0.8,0.6,0.5555555555555556,0.7058823529411765,0.4,0.5454545454545454,0.625,0.625,0.5263157894736842,0.32,0.48,0.47058823529411764
 VB S,0.47058823529411764,0.7692307692307693,0.625,0.43478260869565216,0.5714285714285714,0.7272727272727273,0.6666666666666666,0.6666666666666666,0.6153846153846154,0.5714285714285714,0.36363636363636365,0.6153846153846154,0.6666666666666666,0.6666666666666666,0.38095238095238093,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.9090909090909091,1.0,0.7272727272727273,0.36363636363636365,0.47058823529411764,0.9090909090909091,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5333333333333333,0.7272727272727273,0.5333333333333333,0.5333333333333333,0.0,0.5,0.25,0.47058823529411764,0.5333333333333333,0.34782608695652173,0.5714285714285714,0.4444444444444444,0.5882352941176471,0.6666666666666666,0.47058823529411764,0.9090909090909091,0.9090909090909091,0.5714285714285714,0.42857142857142855,0.6666666666666666,0.5714285714285714,0.7692307692307693,0.5,0.5714285714285714,0.36363636363636365,0.2857142857142857,0.2857142857142857,0.75,0.7142857142857143,0.25,0.7142857142857143,0.36363636363636365,0.6666666666666666,0.5333333333333333,0.9090909090909091,0.5333333333333333,0.7142857142857143,0.5882352941176471,0.5882352941176471,0.4444444444444444,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5333333333333333,0.7142857142857143,0.5263157894736842,0.47058823529411764,0.625,0.42105263157894735,0.47619047619047616,0.6666666666666666,0.5333333333333333,0.4444444444444444,0.3333333333333333,0.4166666666666667,0.5
 VB PP,0.6666666666666666,0.5714285714285714,0.5882352941176471,0.3333333333333333,0.8,0.8333333333333334,0.7692307692307693,0.6,0.42857142857142855,0.8,0.5,0.7142857142857143,0.7692307692307693,0.7692307692307693,0.5454545454545454,0.7692307692307693,0.7692307692307693,0.6666666666666666,0.6666666666666666,0.7272727272727273,1.0,0.5,0.6666666666666666,0.6666666666666666,0.7692307692307693,0.6,0.7692307692307693,0.625,0.8333333333333334,0.75,0.625,0.0,0.7058823529411765,0.2222222222222222,0.6666666666666666,0.75,0.5,0.6666666666666666,0.631578947368421,0.5555555555555556,0.7692307692307693,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8,0.5333333333333333,0.7692307692307693,0.8,0.7142857142857143,0.35294117647058826,0.6666666666666666,0.5,0.4,0.4,0.6666666666666666,0.5333333333333333,0.35294117647058826,0.5333333333333333,0.5217391304347826,0.625,0.75,0.6666666666666666,0.75,0.5333333333333333,0.5555555555555556,0.5555555555555556,0.631578947368421,0.7058823529411765,0.9230769230769231,0.7692307692307693,0.9230769230769231,0.9230769230769231,0.75,0.6666666666666666,0.5,0.6666666666666666,0.5882352941176471,0.6,0.5454545454545454,0.5,0.625,0.631578947368421,0.48,0.48,0.7058823529411765
 MD VP,0.5555555555555556,0.2857142857142857,0.35294117647058826,0.16666666666666666,0.4,0.5,0.6153846153846154,0.4,0.42857142857142855,0.4,0.6666666666666666,0.42857142857142855,0.6153846153846154,0.46153846153846156,0.2727272727272727,0.6153846153846154,0.6153846153846154,0.6666666666666666,0.5,0.36363636363636365,0.5,1.0,0.3333333333333333,0.5,0.7692307692307693,0.4,0.46153846153846156,0.5,0.6666666666666666,0.5,0.5,0.0,0.35294117647058826,0.2222222222222222,0.5555555555555556,0.375,0.25,0.4,0.5263157894736842,0.4444444444444444,0.46153846153846156,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.4,0.4,0.46153846153846156,0.5333333333333333,0.42857142857142855,0.35294117647058826,0.4,0.5,0.5333333333333333,0.8,0.4444444444444444,0.4,0.7058823529411765,0.26666666666666666,0.2608695652173913,0.375,0.375,0.3333333333333333,0.375,0.4,0.3333333333333333,0.4444444444444444,0.3157894736842105,0.47058823529411764,0.46153846153846156,0.6153846153846154,0.6153846153846154,0.46153846153846156,0.375,0.5333333333333333,0.3,0.3333333333333333,0.35294117647058826,0.3,0.2727272727272727,0.25,0.625,0.42105263157894735,0.24,0.24,0.35294117647058826
 VB PRT ADVP,0.75,0.5,0.5217391304347826,0.4666666666666667,0.6666666666666666,0.5555555555555556,0.631578947368421,0.375,0.4,0.6666666666666666,0.3333333333333333,0.7,0.631578947368421,0.5263157894736842,0.8571428571428571,0.5263157894736842,0.631578947368421,0.7619047619047619,0.4444444444444444,0.47058823529411764,0.6666666666666666,0.3333333333333333,1.0,0.4444444444444444,0.631578947368421,0.5,0.5263157894736842,0.7272727272727273,0.6666666666666666,0.6363636363636364,0.7272727272727273,0.0,0.6956521739130435,0.13333333333333333,0.8333333333333334,0.6363636363636364,0.4666666666666667,0.7619047619047619,0.64,0.5,0.5263157894736842,0.6666666666666666,0.4444444444444444,0.4444444444444444,0.6666666666666666,0.5714285714285714,0.5263157894736842,0.7619047619047619,0.6,0.34782608695652173,0.7619047619047619,0.3333333333333333,0.2857142857142857,0.2857142857142857,0.4,0.47619047619047616,0.5217391304347826,0.47619047619047616,0.41379310344827586,0.6363636363636364,0.5454545454545454,0.4444444444444444,0.8181818181818182,0.47619047619047616,0.5,0.5,0.48,0.782608695652174,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421,0.5454545454545454,0.5714285714285714,0.6153846153846154,0.6666666666666666,0.6956521739130435,0.6923076923076923,0.7142857142857143,0.5454545454545454,0.7272727272727273,0.56,0.6451612903225806,0.6451612903225806,0.782608695652174
 VBP S,0.5555555555555556,0.7142857142857143,0.7058823529411765,0.4166666666666667,0.6666666666666666,0.6666666666666666,0.7692307692307693,0.6,0.7142857142857143,0.6666666666666666,0.5,0.5714285714285714,0.6153846153846154,0.6153846153846154,0.45454545454545453,0.6153846153846154,0.6153846153846154,0.5333333333333333,0.8333333333333334,0.9090909090909091,0.6666666666666666,0.5,0.5555555555555556,1.0,0.6153846153846154,0.6,0.7692307692307693,0.5,0.6666666666666666,0.625,0.625,0.0,0.5882352941176471,0.2222222222222222,0.5555555555555556,0.625,0.4166666666666667,0.5333333333333333,0.5263157894736842,0.6666666666666666,0.6153846153846154,0.5555555555555556,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.5333333333333333,0.6153846153846154,0.6666666666666666,0.8571428571428571,0.5882352941176471,0.6666666666666666,0.3333333333333333,0.4,0.4,0.6666666666666666,0.8,0.35294117647058826,0.6666666666666666,0.43478260869565216,0.75,0.625,0.8333333333333334,0.625,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5263157894736842,0.5882352941176471,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.625,0.8,0.6,0.5555555555555556,0.7058823529411765,0.5,0.5454545454545454,0.625,0.5,0.5263157894736842,0.4,0.48,0.5882352941176471
 VBD VP,0.7368421052631579,0.5333333333333333,0.5555555555555556,0.32,0.625,0.7692307692307693,0.8571428571428571,0.5454545454545454,0.4,0.625,0.6153846153846154,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.5217391304347826,0.8571428571428571,0.8571428571428571,0.875,0.7692307692307693,0.6666666666666666,0.7692307692307693,0.7692307692307693,0.631578947368421,0.6153846153846154,1.0,0.7272727272727273,0.7142857142857143,0.7058823529411765,0.9230769230769231,0.7058823529411765,0.7058823529411765,0.0,0.6666666666666666,0.2,0.7368421052631579,0.5882352941176471,0.4,0.75,0.7,0.631578947368421,0.7142857142857143,0.7368421052631579,0.6153846153846154,0.6153846153846154,0.625,0.375,0.7142857142857143,0.75,0.6666666666666666,0.3333333333333333,0.625,0.46153846153846156,0.5,0.625,0.6,0.5,0.5555555555555556,0.5,0.5,0.5882352941176471,0.5882352941176471,0.6153846153846154,0.5882352941176471,0.625,0.5263157894736842,0.631578947368421,0.5,0.6666666666666666,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.5882352941176471,0.75,0.5714285714285714,0.631578947368421,0.6666666666666666,0.47619047619047616,0.5217391304347826,0.47058823529411764,0.8235294117647058,0.6,0.46153846153846156,0.46153846153846156,0.5555555555555556
 VBD,0.5,0.5,0.4,0.2727272727272727,0.46153846153846156,0.6,0.5454545454545454,0.75,0.3333333333333333,0.46153846153846156,0.4,0.6666666666666666,0.5454545454545454,0.5454545454545454,0.4,0.7272727272727273,0.5454545454545454,0.6153846153846154,0.8,0.6666666666666666,0.6,0.4,0.5,0.6,0.7272727272727273,1.0,0.5454545454545454,0.42857142857142855,0.6,0.5714285714285714,0.42857142857142855,0.0,0.5333333333333333,0.2857142857142857,0.5,0.42857142857142855,0.2727272727272727,0.6153846153846154,0.47058823529411764,0.375,0.5454545454545454,0.5,0.6,0.6,0.46153846153846156,0.3076923076923077,0.5454545454545454,0.46153846153846156,0.5,0.4,0.6153846153846154,0.2,0.3076923076923077,0.3076923076923077,0.8571428571428571,0.46153846153846156,0.26666666666666666,0.46153846153846156,0.2857142857142857,0.5714285714285714,0.42857142857142855,0.6,0.42857142857142855,0.6153846153846154,0.375,0.5,0.35294117647058826,0.5333333333333333,0.5454545454545454,0.5454545454545454,0.7272727272727273,0.5454545454545454,0.42857142857142855,0.6153846153846154,0.4444444444444444,0.5,0.5333333333333333,0.3333333333333333,0.4,0.42857142857142855,0.5714285714285714,0.47058823529411764,0.34782608695652173,0.34782608695652173,0.4
 VBP NP,0.631578947368421,0.5333333333333333,0.6666666666666666,0.32,0.875,0.9230769230769231,0.8571428571428571,0.7272727272727273,0.5333333333333333,0.75,0.46153846153846156,0.5333333333333333,0.5714285714285714,0.8571428571428571,0.6086956521739131,0.8571428571428571,0.5714285714285714,0.5,0.6153846153846154,0.6666666666666666,0.7692307692307693,0.46153846153846156,0.631578947368421,0.7692307692307693,0.5714285714285714,0.5454545454545454,1.0,0.47058823529411764,0.6153846153846154,0.8235294117647058,0.7058823529411765,0.0,0.6666666666666666,0.4,0.631578947368421,0.8235294117647058,0.48,0.5,0.6,0.5263157894736842,0.8571428571428571,0.631578947368421,0.6153846153846154,0.6153846153846154,0.75,0.625,0.8571428571428571,0.75,0.8,0.4444444444444444,0.75,0.6153846153846154,0.5,0.375,0.6,0.625,0.3333333333333333,0.5,0.5,0.5882352941176471,0.8235294117647058,0.6153846153846154,0.8235294117647058,0.5,0.631578947368421,0.631578947368421,0.7,0.6666666666666666,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7058823529411765,0.75,0.47619047619047616,0.631578947368421,0.5555555555555556,0.5714285714285714,0.5217391304347826,0.47058823529411764,0.47058823529411764,0.6,0.5384615384615384,0.5384615384615384,0.6666666666666666
 VBZ RB VP,0.6363636363636364,0.5555555555555556,0.47619047619047616,0.42857142857142855,0.631578947368421,0.625,0.7058823529411765,0.42857142857142855,0.3333333333333333,0.631578947368421,0.5,0.5555555555555556,0.8235294117647058,0.7058823529411765,0.6153846153846154,0.5882352941176471,0.7058823529411765,0.631578947368421,0.5,0.5333333333333333,0.625,0.5,0.7272727272727273,0.5,0.7058823529411765,0.42857142857142855,0.5882352941176471,1.0,0.75,0.6,0.9,0.0,0.5714285714285714,0.15384615384615385,0.6363636363636364,0.7,0.42857142857142855,0.7368421052631579,0.6086956521739131,0.6363636363636364,0.5882352941176471,0.6363636363636364,0.5,0.625,0.631578947368421,0.3157894736842105,0.5882352941176471,0.7368421052631579,0.5555555555555556,0.2857142857142857,0.5263157894736842,0.375,0.5263157894736842,0.7368421052631579,0.46153846153846156,0.5263157894736842,0.47619047619047616,0.5263157894736842,0.5925925925925926,0.5,0.6,0.5,0.7,0.5263157894736842,0.45454545454545453,0.45454545454545453,0.5217391304347826,0.6666666666666666,0.5882352941176471,0.7058823529411765,0.5882352941176471,0.5882352941176471,0.6,0.5263157894736842,0.5,0.5454545454545454,0.5714285714285714,0.5833333333333334,0.5384615384615384,0.6,0.9,0.5217391304347826,0.4827586206896552,0.4827586206896552,0.6666666666666666
 VB VP,0.6666666666666666,0.5714285714285714,0.5882352941176471,0.3333333333333333,0.6666666666666666,0.8333333333333334,0.9230769230769231,0.6,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.9230769230769231,0.7692307692307693,0.5454545454545454,0.7692307692307693,0.9230769230769231,0.8,0.6666666666666666,0.7272727272727273,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9230769230769231,0.6,0.7692307692307693,0.75,1.0,0.625,0.75,0.0,0.7058823529411765,0.2222222222222222,0.6666666666666666,0.625,0.4166666666666667,0.8,0.631578947368421,0.6666666666666666,0.7692307692307693,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4,0.7692307692307693,0.8,0.7142857142857143,0.35294117647058826,0.6666666666666666,0.5,0.5333333333333333,0.6666666666666666,0.6666666666666666,0.5333333333333333,0.5882352941176471,0.5333333333333333,0.43478260869565216,0.625,0.625,0.6666666666666666,0.625,0.5333333333333333,0.5555555555555556,0.5555555555555556,0.5263157894736842,0.5882352941176471,0.7692307692307693,0.9230769230769231,0.7692307692307693,0.7692307692307693,0.625,0.6666666666666666,0.6,0.6666666666666666,0.7058823529411765,0.5,0.5454545454545454,0.5,0.75,0.5263157894736842,0.48,0.48,0.5882352941176471
 VBD NP NP,0.5454545454545454,0.4444444444444444,0.6666666666666666,0.35714285714285715,0.9473684210526315,0.75,0.7058823529411765,0.5714285714285714,0.4444444444444444,0.8421052631578947,0.375,0.5555555555555556,0.5882352941176471,0.7058823529411765,0.6153846153846154,0.8235294117647058,0.5882352941176471,0.631578947368421,0.625,0.5333333333333333,0.75,0.375,0.45454545454545453,0.625,0.7058823529411765,0.5714285714285714,0.8235294117647058,0.5,0.625,1.0,0.6,0.0,0.6666666666666666,0.46153846153846156,0.8181818181818182,0.9,0.6428571428571429,0.5263157894736842,0.782608695652174,0.5454545454545454,0.7058823529411765,0.7272727272727273,0.5,0.5,0.7368421052631579,0.5263157894736842,0.7058823529411765,0.8421052631578947,0.7777777777777778,0.38095238095238093,0.631578947368421,0.5,0.631578947368421,0.3157894736842105,0.46153846153846156,0.5263157894736842,0.2857142857142857,0.42105263157894735,0.5185185185185185,0.6,0.8,0.5,0.6,0.5263157894736842,0.6363636363636364,0.7272727272727273,0.782608695652174,0.7619047619047619,0.7058823529411765,0.5882352941176471,0.8235294117647058,0.7058823529411765,0.8,0.8421052631578947,0.5,0.6363636363636364,0.5714285714285714,0.5833333333333334,0.6153846153846154,0.5,0.6,0.782608695652174,0.5517241379310345,0.5517241379310345,0.6666666666666666
